id,brand,name,country,price,size,slug
10f7da9a-4eda-4032-826d-d3184b10d96f,7-20-4 Gran,7-20-4 Gran Toro,Honduras,8.95,Toro,7-20-4-gran-toro-1
8cf9bc79-1cd5-437c-9cc6-ed36bae1d534,7-20-4 Hustler,7-20-4 Hustler Series Dog Walker,Honduras,6.5,Petit Corona,7-20-4-hustler-series-dog-walker
13d43a25-f547-41a7-bfda-6ca1c4e00a06,7-20-4 Hustler,7-20-4 Hustler Series Dog Walker,Honduras,6.0,Petit Corona,7-20-4-hustler-series-dog-walker-1
3932a8c8-beab-4a49-af2d-449b048ff9d5,7-20-4 Hustler,7-20-4 Hustler Series Dog Walker,Honduras,6.0,Petit Corona,7-20-4-hustler-series-dog-walker-2
ae69a621-02c9-40e9-93dd-e64e32f81ba4,7-20-4 Hustler,7-20-4 Hustler Series Dog Walker,Honduras,6.0,Petit Corona,7-20-4-hustler-series-dog-walker-3
0a8cb4b4-64e2-4166-bef8-913e2a13c8ed,7-20-4 Hustler,7-20-4 Hustler Dog Walker,Honduras,5.5,Petit Corona,7-20-4-hustler-dog-walker
24580d4c-27f8-450a-8b60-a6d1ba59c11d,7-20-4 Hustler,7-20-4 Hustler Toro Gordo,Honduras,11.0,Toro,7-20-4-hustler-toro-gordo
66fca540-3f66-4841-8d04-53bac501bf36,7-20-4 Hustler,7-20-4 Hustler Dog Walker,Honduras,5.5,Petit Corona,7-20-4-hustler-dog-walker-1
ba3b9c81-d01b-4b80-97f0-09a95dd24420,7-20-4 Hustler,7-20-4 Hustler Robusto Gordo,Honduras,9.0,Toro,7-20-4-hustler-robusto-gordo
0b7999e2-7832-41ec-874d-c1cfedb2ded5,7-20-4 Hustler,7-20-4 Hustler Toro,Honduras,10.0,Toro,7-20-4-hustler-toro
19c9c819-8cd2-42fe-a7cf-c66c9300a152,7-20-4 Lancero,7-20-4 Lancero,Honduras,9.3,Panetela,7-20-4-lancero
6fa3792f-8685-4d6c-85ce-fc173a02b194,7-20-4 Lancero,7-20-4 Lancero,Honduras,9.3,Panetela,7-20-4-lancero-1
0344a1e9-6989-48c5-98c5-fc3b2c0db7e1,7-20-4 Lancero,7-20-4 Lancero,Honduras,8.35,Panetela,7-20-4-lancero-2
97eeb271-55a5-4046-9d37-2e260dc46295,7-20-4 Lancero,7-20-4 Lancero,Honduras,8.0,Panetela,7-20-4-lancero-3
f772818e-e694-4fb9-bc94-ccb58e3e02fc,7-20-4 Robusto,7-20-4 Robusto,Honduras,6.75,Robusto,7-20-4-robusto
7a234bf6-5ecd-4d73-a7d3-09283990f174,7-20-4 Robusto,7-20-4 Robusto,Honduras,6.75,Robusto,7-20-4-robusto-1
1487fc8a-0948-4a29-bc8c-592d38c29880,7-20-4 Torpedo,7-20-4 Torpedo,Honduras,7.95,Figurado,7-20-4-torpedo
833d437b-ff2d-4668-aa6f-4c41ea78c1e9,7/20/04,7-20-4 Churchill,Honduras,9.3,Churchill,7-20-4-churchill-3
e7b22c5f-d38a-4878-adcc-d3fb9e39a5c4,777 Corojo,777 Corojo Robusto,Nicaragua,5.45,Robusto,777-corojo-robusto
b0fc3c57-3418-46c2-8e3c-c946e894c44a,777 Corojo,777 Corojo Robusto,Nicaragua,5.45,Robusto,777-corojo-robusto-1
742f473c-928d-4f90-9a2f-2f2d4a1a585e,777 Corojo,777 Corojo Toro,Nicaragua,5.7,Toro,777-corojo-toro
0cb08141-80ac-4da3-8a26-879529222489,777 Corojo,777 Corojo Corona Gorda,Nicaragua,5.2,Toro,777-corojo-corona-gorda
2823867b-c9bc-4229-a232-c0ef59500e32,777 Corojo,777 Corojo Belicoso,Nicaragua,5.7,Figurado,777-corojo-belicoso
2813513f-11b6-49ba-8533-5220ab50d698,8-9-8 Collection,8-9-8 Collection Lonsdale,Jamaica,4.95,Lonsdale,8-9-8-collection-lonsdale
e6985f10-0c17-47b8-aa67-fd6d41cfcd49,8-9-8 Collection,8-9-8 Collection Corona,Jamaica,4.8,Corona,8-9-8-collection-corona
88388011-3d87-4e75-b907-20fea8b1783b,8-9-8 Collection,8-9-8 Collection Churchill,Jamaica,6.0,Double Corona,8-9-8-collection-churchill
b55408ae-db7e-42fb-8352-250ce8cc6123,8-9-8 Collection,8-9-8 Collection Lonsdale,Jamaica,4.95,Lonsdale,8-9-8-collection-lonsdale-1
ade76703-3efb-49b6-a6c2-69fe1531d9bf,8-9-8 Collection,8-9-8 Collection Corona,Jamaica,4.8,Corona,8-9-8-collection-corona-1
fc775528-a29c-48cf-a500-7d370ca5108f,8-9-8 Collection,8-9-8 Collection Churchill,Jamaica,6.0,Double Corona,8-9-8-collection-churchill-1
a5e922fa-83f4-41ee-89e3-771b6de01021,8-9-8 Collection,8-9-8 Collection Lonsdale,Jamaica,4.95,Lonsdale,8-9-8-collection-lonsdale-2
9d0fd788-1385-4e47-afc6-5919f955ac3c,8-9-8 Collection,8-9-8 Collection Corona,Jamaica,4.8,Corona,8-9-8-collection-corona-2
bf1a235e-1901-446e-9c2d-6cddd90f3c87,8-9-8 Collection,8-9-8 Collection Churchill,Jamaica,9.75,Double Corona,8-9-8-collection-churchill-2
730c5d19-a234-4287-aa0b-df1492bcbb8b,8-9-8 Collection,8-9-8 Collection Corona,Jamaica,7.75,Corona,8-9-8-collection-corona-3
2f4d0b9d-a4f6-4b23-b2ab-adeb956c3637,8-9-8 Collection,8-9-8 Collection Lonsdale,Jamaica,8.25,Lonsdale,8-9-8-collection-lonsdale-3
1e41b299-776a-4e3c-a74c-16b7aa18ca52,8-9-8 Collection,8-9-8 Collection Monarch,Jamaica,9.0,Lonsdale,8-9-8-collection-monarch
134ce15c-08a3-4012-bf8d-c463b92dfd53,8-9-8 Collection,8-9-8 Collection Robusto,Jamaica,9.25,Toro,8-9-8-collection-robusto
2d6dbe27-15b7-4f35-a6ba-628ba7374fa3,8-9-8 Collection,8-9-8 Collection Churchill,Jamaica,6.0,Double Corona,8-9-8-collection-churchill-3
518c8c25-100a-4315-9593-eccb42634e0a,8-9-8 Collection,8-9-8 Collection Robusto,Jamaica,9.25,Robusto,8-9-8-collection-robusto-1
fd66e4cb-ff9c-4ac0-885c-18087e6252be,8-9-8 Collection,8-9-8 Collection Monarch,Jamaica,9.0,Miscellaneous,8-9-8-collection-monarch-1
7a51a4b6-b3a3-449f-a960-c99b7659d514,8-9-8 Collection,8-9-8 Collection Robusto,Jamaica,7.75,Toro,8-9-8-collection-robusto-2
cde5c33f-fb0c-4d53-b5a8-6f6df8f4d8bb,8-9-8 Collection,8-9-8 Collection Lonsdale,Jamaica,4.95,Lonsdale,8-9-8-collection-lonsdale-4
cb689519-3195-4583-ba0c-a9bf9041679a,8-9-8 Collection,8-9-8 Collection Corona,Jamaica,4.8,Corona,8-9-8-collection-corona-4
b497341a-13cd-40f6-8716-846a4c0142a9,8-9-8 Collection,8-9-8 Collection Robusto,Jamaica,6.0,Toro,8-9-8-collection-robusto-3
00b00761-c80d-48cb-85e2-278fc1a339e6,8-9-8 Collection,8-9-8 Collection Churchill,Jamaica,,Churchill,8-9-8-collection-churchill-4
3664a949-3b6c-4ee6-8a56-97bd01851917,8-9-8 Collection,8-9-8 Collection Corona,Jamaica,4.75,Petit Corona,8-9-8-collection-corona-5
9609a65e-12f6-411a-b95d-b91780d4617a,8-9-8 Collection,8-9-8 Collection Churchill,Jamaica,6.0,Double Corona,8-9-8-collection-churchill-5
6620d1f7-5acf-42d9-9534-31442d024f50,A. Flores,A. Flores Connecticut Valley Reserve Azul Lancero,Dominican Republic,24.0,Lonsdale,a-flores-connecticut-valley-reserve-azul-lancero
927e2b6d-00cc-4f0b-9dd5-15b52a67f86a,A. Flores,A. Flores Connecticut Valley Reserve Azul Churchill,Dominican Republic,26.0,Churchill,a-flores-connecticut-valley-reserve-azul-churchill
770691f2-d69c-402c-8789-2921f667cdbe,A. Flores,A. Flores Connecticut Valley Reserve Azul Lancero,Dominican Republic,24.0,Lonsdale,a-flores-connecticut-valley-reserve-azul-lancero-1
dfa2bf4c-fb57-4167-b29a-1860ede4f91d,A. Flores,A. Flores Connecticut Valley Reserve Azul Gran Toro,Dominican Republic,22.0,Toro,a-flores-connecticut-valley-reserve-azul-gran-toro
b8b84a91-ecec-4a60-82ce-fde86e3f1038,A. Flores,A. Flores Connecticut Valley Reserve Azul Robusto,Dominican Republic,20.0,Robusto,a-flores-connecticut-valley-reserve-azul-robusto
938da960-426e-4315-8e92-01290fc762cb,A. Flores,A. Flores 1975 Serie Privada Rosado SP 58,Dominican Republic,15.41,Churchill,a-flores-1975-serie-privada-rosado-sp-58
f1ad711c-f01b-4b0c-b060-34f9b7a2da3e,A. Flores,A. Flores Gran Reserva Desflorado Half Corona,Dominican Republic,5.0,Miscellaneous,a-flores-gran-reserva-desflorado-half-corona
6ee84ecf-902c-4d05-a9b4-abb1778e685a,A. Flores,A. Flores 1975 Serie Privada Maduro SP54,Dominican Republic,11.5,Toro,a-flores-1975-serie-privada-maduro-sp54
043c766d-37a2-4f92-afa9-d18a7efd7052,A. Flores,A. Flores 1975 Serie Privada Capa Rosado SP 52,Dominican Republic,9.75,Robusto,a-flores-1975-serie-privada-capa-rosado-sp-52
